RTS1HD,2021-11-08 12:22:35,DASH,KALT,0.170531,0.114332,OK: --KALT returned URL,https://aw-ucdn-3201-prod.tv.cetin.cz/bpk-tv/RTS_1_2145/output1/manifest.mpd?accountId=3200&deviceType=22&subscriptionType=20967&ip=85.162.8.185&primaryToken=b603664a00182c20_583f659bae63427d9cab9579de02a5bd
RTS1HD,2021-11-08 12:22:35,DASH,BRPK,0.166891,NaN,OK: --BRPK returned Manifest,Reason: OK Status code: 200
RTS1HD,2021-11-08 12:22:36,HLS,KALT,0.189797,0.1072267,OK: --KALT returned URL,https://aw-ucdn-3201-prod.tv.cetin.cz/bpk-tv/RTS_1_2145/output3/index.m3u8?accountId=3200&deviceType=22&subscriptionType=20967&ip=85.162.8.185&primaryToken=b603674a40182c20_8b2c5c2c8c9c82ad8c71cb1e5739231e
RTS1HD,2021-11-08 12:22:36,HLS,BRPK,0.129078,NaN,OK: --BRPK returned Manifest,Reason: OK Status code: 200
RTS2HD,2021-11-08 12:22:36,DASH,KALT,0.176723,0.1246604,OK: --KALT returned URL,https://aw-ucdn-3201-prod.tv.cetin.cz/bpk-tv/RTS_2_2146/output1/manifest.mpd?accountId=3200&deviceType=22&subscriptionType=20967&ip=85.162.8.185&primaryToken=b603674a40182c20_d70f07740847089bbd4ff9d8f62a8d1c
RTS2HD,2021-11-08 12:22:36,DASH,BRPK,0.166662,NaN,OK: --BRPK returned Manifest,Reason: OK Status code: 200
RTS2HD,2021-11-08 12:22:36,HLS,KALT,0.132439,0.0796456,OK: --KALT returned URL,https://aw-ucdn-3201-prod.tv.cetin.cz/bpk-tv/RTS_2_2146/output3/index.m3u8?accountId=3200&deviceType=22&subscriptionType=20967&ip=85.162.8.185&primaryToken=b643664a001c2c20_aa141c35adb3267e124f26e9c9c3c230
RTS2HD,2021-11-08 12:22:37,HLS,BRPK,0.163761,NaN,OK: --BRPK returned Manifest,Reason: OK Status code: 200
PRVA,2021-11-08 12:22:37,DASH,KALT,0.185924,0.1338656,OK: --KALT returned URL,https://aw-ucdn-3201-prod.tv.cetin.cz/bpk-tv/PRVA_2119/output1/manifest.mpd?accountId=3200&deviceType=22&subscriptionType=20967&ip=85.162.8.185&primaryToken=b643664a001c2c20_537504109906552bdb036f6c891e228e
PRVA,2021-11-08 12:22:37,DASH,BRPK,0.181757,NaN,OK: --BRPK returned Manifest,Reason: OK Status code: 200
PRVA,2021-11-08 12:22:37,HLS,KALT,0.133554,0.0789518,OK: --KALT returned URL,https://aw-ucdn-3201-prod.tv.cetin.cz/bpk-tv/PRVA_2119/output3/index.m3u8?accountId=3200&deviceType=22&subscriptionType=20967&ip=85.162.8.185&primaryToken=b643674a401c2c20_13c8f93ddca77d48b28c87b7c56e0649
PRVA,2021-11-08 12:22:38,HLS,BRPK,0.118039,NaN,OK: --BRPK returned Manifest,Reason: OK Status code: 200
PINK,2021-11-08 12:22:38,DASH,KALT,0.173334,0.1215593,OK: --KALT returned URL,https://aw-ucdn-3201-prod.tv.cetin.cz/bpk-tv/PINK_2063/output1/manifest.mpd?accountId=3200&deviceType=22&subscriptionType=20967&ip=85.162.8.185&primaryToken=b643674a401c2c20_60290c21830612ea497d1dd037e9e00d
PINK,2021-11-08 12:22:38,DASH,BRPK,0.226786,NaN,OK: --BRPK returned Manifest,Reason: OK Status code: 200
PINK,2021-11-08 12:22:38,HLS,KALT,0.139456,0.0882343,OK: --KALT returned URL,https://aw-ucdn-3201-prod.tv.cetin.cz/bpk-tv/PINK_2063/output3/index.m3u8?accountId=3200&deviceType=22&subscriptionType=20967&ip=85.162.8.185&primaryToken=3623664800090820_c0c2b207683674e00a11cd70c1e28e9d
PINK,2021-11-08 12:22:39,HLS,BRPK,0.160883,NaN,OK: --BRPK returned Manifest,Reason: OK Status code: 200
B92,2021-11-08 12:22:39,DASH,KALT,0.163658,0.1067158,OK: --KALT returned URL,https://aw-ucdn-3201-prod.tv.cetin.cz/bpk-tv/B92_1030/output1/manifest.mpd?accountId=3200&deviceType=22&subscriptionType=20967&ip=85.162.8.185&primaryToken=3623664800090820_73c6deb04eea454969a58ce29c7996cc
B92,2021-11-08 12:22:39,DASH,BRPK,0.225424,NaN,OK: --BRPK returned Manifest,Reason: OK Status code: 200
B92,2021-11-08 12:22:39,HLS,KALT,0.180096,0.126754,OK: --KALT returned URL,https://aw-ucdn-3201-prod.tv.cetin.cz/bpk-tv/B92_1030/output3/index.m3u8?accountId=3200&deviceType=22&subscriptionType=20967&ip=85.162.8.185&primaryToken=3623674840090820_436265afbc0e8b36b0500983151ce5c9
B92,2021-11-08 12:22:40,HLS,BRPK,0.200416,NaN,OK: --BRPK returned Manifest,Reason: OK Status code: 200
